steps,date,interval
00,2012-10-01,2050,Weekday
00,2012-10-01,2055,Weekday
00,2012-10-01,2100,Weekday
00,2012-10-01,2105,Weekday
00,2012-10-01,2110,Weekday
00,2012-10-01,2115,Weekday
00,2012-10-01,2120,Weekday
00,2012-10-01,2125,Weekday
00,2012-10-01,2130,Weekday
00,2012-10-01,2135,Weekday
00,2012-10-01,2140,Weekday
00,2012-10-01,2145,Weekday
00,2012-10-01,2150,Weekday
00,2012-10-01,2155,Weekday
00,2012-10-01,2200,Weekday
00,2012-10-01,2205,Weekday
00,2012-10-01,2210,Weekday
00,2012-10-01,2215,Weekday
00,2012-10-01,2220,Weekday
00,2012-10-01,2225,Weekday
00,2012-10-01,2230,Weekday
00,2012-10-01,2235,Weekday
00,2012-10-01,2240,Weekday
00,2012-10-01,2245,Weekday
00,2012-10-01,2250,Weekday
00,2012-10-01,2255,Weekday
00,2012-10-01,2300,Weekday
00,2012-10-01,2305,Weekday
00,2012-10-01,2310,Weekday
00,2012-10-01,2315,Weekday
00,2012-10-01,2320,Weekday
00,2012-10-01,2325,Weekday
00,2012-10-01,2330,Weekday
00,2012-10-01,2335,Weekday
00,2012-10-01,2340,Weekday
00,2012-10-01,2345,Weekday
00,2012-10-01,2350,Weekday
00,2012-10-01,2355,Weekday
00,2012-10-02,0,Weekday
00,2012-10-02,5,Weekday
00,2012-10-02,10,Weekday
00,2012-10-02,15,Weekday
00,2012-10-02,20,Weekday
00,2012-10-02,25,Weekday
00,2012-10-02,30,Weekday
00,2012-10-02,35,Weekday
00,2012-10-02,40,Weekday
00,2012-10-02,45,Weekday
00,2012-10-02,50,Weekday
00,2012-10-02,55,Weekday
00,2012-10-02,100,Weekday
00,2012-10-02,105,Weekday
00,2012-10-02,110,Weekday
00,2012-10-02,115,Weekday
00,2012-10-02,120,Weekday
00,2012-10-02,125,Weekday
00,2012-10-02,130,Weekday
00,2012-10-02,135,Weekday
00,2012-10-02,140,Weekday
00,2012-10-02,145,Weekday
00,2012-10-02,150,Weekday
00,2012-10-02,155,Weekday
00,2012-10-02,200,Weekday
00,2012-10-02,205,Weekday
00,2012-10-02,210,Weekday
00,2012-10-02,215,Weekday
00,2012-10-02,220,Weekday
00,2012-10-02,225,Weekday
00,2012-10-02,230,Weekday
00,2012-10-02,235,Weekday
00,2012-10-02,240,Weekday
00,2012-10-02,245,Weekday
00,2012-10-02,250,Weekday
00,2012-10-02,255,Weekday
00,2012-10-02,300,Weekday
00,2012-10-02,305,Weekday
00,2012-10-02,310,Weekday
00,2012-10-02,315,Weekday
00,2012-10-02,320,Weekday
00,2012-10-02,325,Weekday
00,2012-10-02,330,Weekday
00,2012-10-02,335,Weekday
00,2012-10-02,340,Weekday
00,2012-10-02,345,Weekday
00,2012-10-02,350,Weekday
00,2012-10-02,355,Weekday
00,2012-10-02,400,Weekday
00,2012-10-02,405,Weekday
00,2012-10-02,410,Weekday
00,2012-10-02,415,Weekday
00,2012-10-02,420,Weekday
00,2012-10-02,425,Weekday
00,2012-10-02,430,Weekday
00,2012-10-02,435,Weekday
00,2012-10-02,440,Weekday
00,2012-10-02,445,Weekday
00,2012-10-02,450,Weekday
00,2012-10-02,455,Weekday
00,2012-10-02,500,Weekday
00,2012-10-02,505,Weekday
00,2012-10-02,510,Weekday
00,2012-10-02,515,Weekday
00,2012-10-02,520,Weekday
00,2012-10-02,525,Weekday
00,2012-10-02,530,Weekday
00,2012-10-02,535,Weekday
00,2012-10-02,540,Weekday
00,2012-10-02,545,Weekday
00,2012-10-02,550,Weekday
00,2012-10-02,555,Weekday
00,2012-10-02,600,Weekday
00,2012-10-02,605,Weekday
00,2012-10-02,610,Weekday
00,2012-10-02,615,Weekday
00,2012-10-02,620,Weekday
00,2012-10-02,625,Weekday
00,2012-10-02,630,Weekday
00,2012-10-02,635,Weekday
00,2012-10-02,640,Weekday
00,2012-10-02,645,Weekday
00,2012-10-02,650,Weekday
00,2012-10-02,655,Weekday
00,2012-10-02,700,Weekday
00,2012-10-02,705,Weekday
00,2012-10-02,710,Weekday
00,2012-10-02,715,Weekday
00,2012-10-02,720,Weekday
00,2012-10-02,725,Weekday
00,2012-10-02,730,Weekday
00,2012-10-02,735,Weekday
00,2012-10-02,740,Weekday
00,2012-10-02,745,Weekday
00,2012-10-02,750,Weekday
00,2012-10-02,755,Weekday
00,2012-10-02,800,Weekday
00,2012-10-02,805,Weekday
00,2012-10-02,810,Weekday
00,2012-10-02,815,Weekday
00,2012-10-02,820,Weekday
00,2012-10-02,825,Weekday
00,2012-10-02,830,Weekday
00,2012-10-02,835,Weekday
00,2012-10-02,840,Weekday
00,2012-10-02,845,Weekday
00,2012-10-02,850,Weekday
00,2012-10-02,855,Weekday
00,2012-10-02,900,Weekday
00,2012-10-02,905,Weekday
00,2012-10-02,910,Weekday
00,2012-10-02,915,Weekday
00,2012-10-02,920,Weekday
00,2012-10-02,925,Weekday
00,2012-10-02,930,Weekday
00,2012-10-02,935,Weekday
00,2012-10-02,940,Weekday
00,2012-10-02,945,Weekday
00,2012-10-02,950,Weekday
00,2012-10-02,955,Weekday
00,2012-10-02,1000,Weekday
00,2012-10-02,1005,Weekday
00,2012-10-02,1010,Weekday
00,2012-10-02,1015,Weekday
00,2012-10-02,1020,Weekday
00,2012-10-02,1025,Weekday
00,2012-10-02,1030,Weekday
00,2012-10-02,1035,Weekday
00,2012-10-02,1040,Weekday
00,2012-10-02,1045,Weekday
00,2012-10-02,1050,Weekday
00,2012-10-02,1055,Weekday
00,2012-10-02,1100,Weekday
00,2012-10-02,1105,Weekday
00,2012-10-02,1110,Weekday
00,2012-10-02,1115,Weekday
00,2012-10-02,1120,Weekday
00,2012-10-02,1125,Weekday
00,2012-10-02,1130,Weekday
00,2012-10-02,1135,Weekday
00,2012-10-02,1140,Weekday
00,2012-10-02,1145,Weekday
00,2012-10-02,1150,Weekday
00,2012-10-02,1155,Weekday
00,2012-10-02,1200,Weekday
00,2012-10-02,1205,Weekday
00,2012-10-02,1210,Weekday
00,2012-10-02,1215,Weekday
00,2012-10-02,1220,Weekday
00,2012-10-02,1225,Weekday
00,2012-10-02,1230,Weekday
00,2012-10-02,1235,Weekday
00,2012-10-02,1240,Weekday
00,2012-10-02,1245,Weekday
00,2012-10-02,1250,Weekday
00,2012-10-02,1255,Weekday
00,2012-10-02,1300,Weekday
00,2012-10-02,1305,Weekday
00,2012-10-02,1310,Weekday
00,2012-10-02,1315,Weekday
00,2012-10-02,1320,Weekday
00,2012-10-02,1325,Weekday
00,2012-10-02,1330,Weekday
00,2012-10-02,1335,Weekday
00,2012-10-02,1340,Weekday
00,2012-10-02,1345,Weekday
00,2012-10-02,1350,Weekday
00,2012-10-02,1355,Weekday
00,2012-10-02,1400,Weekday
00,2012-10-02,1405,Weekday
00,2012-10-02,1410,Weekday
00,2012-10-02,1415,Weekday
00,2012-10-02,1420,Weekday
00,2012-10-02,1425,Weekday
00,2012-10-02,1430,Weekday
00,2012-10-02,1435,Weekday
00,2012-10-02,1440,Weekday
00,2012-10-02,1445,Weekday
00,2012-10-02,1450,Weekday
00,2012-10-02,1455,Weekday
00,2012-10-02,1500,Weekday
00,2012-10-02,1505,Weekday
00,2012-10-02,1510,Weekday
00,2012-10-02,1515,Weekday
00,2012-10-02,1520,Weekday
00,2012-10-02,1525,Weekday
00,2012-10-02,1530,Weekday
00,2012-10-02,1535,Weekday
00,2012-10-02,1540,Weekday
00,2012-10-02,1545,Weekday
00,2012-10-02,1550,Weekday
00,2012-10-02,1555,Weekday
00,2012-10-02,1600,Weekday
00,2012-10-02,1605,Weekday
00,2012-10-02,1610,Weekday
00,2012-10-02,1615,Weekday
00,2012-10-02,1620,Weekday
00,2012-10-02,1625,Weekday
00,2012-10-02,1630,Weekday
00,2012-10-02,1635,Weekday
00,2012-10-02,1640,Weekday
00,2012-10-02,1645,Weekday
00,2012-10-02,1650,Weekday
00,2012-10-02,1655,Weekday
00,2012-10-02,1700,Weekday
00,2012-10-02,1705,Weekday
00,2012-10-02,1710,Weekday
00,2012-10-02,1715,Weekday
00,2012-10-02,1720,Weekday
00,2012-10-02,1725,Weekday
00,2012-10-02,1730,Weekday
00,2012-10-02,1735,Weekday
00,2012-10-02,1740,Weekday
00,2012-10-02,1745,Weekday
00,2012-10-02,1750,Weekday
00,2012-10-02,1755,Weekday
00,2012-10-02,1800,Weekday
00,2012-10-02,1805,Weekday
00,2012-10-02,1810,Weekday
00,2012-10-02,1815,Weekday
00,2012-10-02,1820,Weekday
00,2012-10-02,1825,Weekday
00,2012-10-02,1830,Weekday
00,2012-10-02,1835,Weekday
00,2012-10-02,1840,Weekday
00,2012-10-02,1845,Weekday
00,2012-10-02,1850,Weekday
00,2012-10-02,1855,Weekday
00,2012-10-02,1900,Weekday
00,2012-10-02,1905,Weekday
00,2012-10-02,1910,Weekday
00,2012-10-02,1915,Weekday
00,2012-10-02,1920,Weekday
00,2012-10-02,1925,Weekday
00,2012-10-02,1930,Weekday
00,2012-10-02,1935,Weekday
00,2012-10-02,1940,Weekday
00,2012-10-02,1945,Weekday
00,2012-10-02,1950,Weekday
00,2012-10-02,1955,Weekday
00,2012-10-02,2000,Weekday
00,2012-10-02,2005,Weekday
00,2012-10-02,2010,Weekday
00,2012-10-02,2015,Weekday
00,2012-10-02,2020,Weekday
00,2012-10-02,2025,Weekday
00,2012-10-02,2030,Weekday
00,2012-10-02,2035,Weekday
00,2012-10-02,2040,Weekday
00,2012-10-02,2045,Weekday
00,2012-10-02,2050,Weekday
00,2012-10-02,2055,Weekday
00,2012-10-02,2100,Weekday
00,2012-10-02,2105,Weekday
00,2012-10-02,2110,Weekday
00,2012-10-02,2115,Weekday
00,2012-10-02,2120,Weekday
00,2012-10-02,2125,Weekday
00,2012-10-02,2130,Weekday
00,2012-10-02,2135,Weekday
00,2012-10-02,2140,Weekday
00,2012-10-02,2145,Weekday
00,2012-10-02,2150,Weekday
00,2012-10-02,2155,Weekday
00,2012-10-02,2200,Weekday
00,2012-10-02,2205,Weekday
117117,2012-10-02,2210,Weekday
99,2012-10-02,2215,Weekday
00,2012-10-02,2220,Weekday
00,2012-10-02,2225,Weekday
00,2012-10-02,2230,Weekday
00,2012-10-02,2235,Weekday
00,2012-10-02,2240,Weekday
00,2012-10-02,2245,Weekday
00,2012-10-02,2250,Weekday
00,2012-10-02,2255,Weekday
00,2012-10-02,2300,Weekday
00,2012-10-02,2305,Weekday
00,2012-10-02,2310,Weekday
00,2012-10-02,2315,Weekday
00,2012-10-02,2320,Weekday
00,2012-10-02,2325,Weekday
00,2012-10-02,2330,Weekday
00,2012-10-02,2335,Weekday
00,2012-10-02,2340,Weekday
00,2012-10-02,2345,Weekday
00,2012-10-02,2350,Weekday
00,2012-10-02,2355,Weekday
00,2012-10-03,0,Weekday
00,2012-10-03,5,Weekday
00,2012-10-03,10,Weekday
00,2012-10-03,15,Weekday
00,2012-10-03,20,Weekday
00,2012-10-03,25,Weekday
00,2012-10-03,30,Weekday
00,2012-10-03,35,Weekday
00,2012-10-03,40,Weekday
00,2012-10-03,45,Weekday
00,2012-10-03,50,Weekday
00,2012-10-03,55,Weekday
00,2012-10-03,100,Weekday
00,2012-10-03,105,Weekday
00,2012-10-03,110,Weekday
00,2012-10-03,115,Weekday
00,2012-10-03,120,Weekday
00,2012-10-03,125,Weekday
00,2012-10-03,130,Weekday
00,2012-10-03,135,Weekday
00,2012-10-03,140,Weekday
00,2012-10-03,145,Weekday
00,2012-10-03,150,Weekday
00,2012-10-03,155,Weekday
00,2012-10-03,200,Weekday
00,2012-10-03,205,Weekday
00,2012-10-03,210,Weekday
00,2012-10-03,215,Weekday
00,2012-10-03,220,Weekday
00,2012-10-03,225,Weekday
00,2012-10-03,230,Weekday
00,2012-10-03,235,Weekday
00,2012-10-03,240,Weekday
00,2012-10-03,245,Weekday
00,2012-10-03,250,Weekday
00,2012-10-03,255,Weekday
00,2012-10-03,300,Weekday
00,2012-10-03,305,Weekday
00,2012-10-03,310,Weekday
00,2012-10-03,315,Weekday
00,2012-10-03,320,Weekday
00,2012-10-03,325,Weekday
00,2012-10-03,330,Weekday
00,2012-10-03,335,Weekday
00,2012-10-03,340,Weekday
00,2012-10-03,345,Weekday
00,2012-10-03,350,Weekday
00,2012-10-03,355,Weekday
00,2012-10-03,400,Weekday
00,2012-10-03,405,Weekday
44,2012-10-03,410,Weekday
00,2012-10-03,415,Weekday
00,2012-10-03,420,Weekday
00,2012-10-03,425,Weekday
3636,2012-10-03,430,Weekday
00,2012-10-03,435,Weekday
00,2012-10-03,440,Weekday
00,2012-10-03,445,Weekday
00,2012-10-03,450,Weekday
00,2012-10-03,455,Weekday
00,2012-10-03,500,Weekday
00,2012-10-03,505,Weekday
00,2012-10-03,510,Weekday
00,2012-10-03,515,Weekday
00,2012-10-03,520,Weekday
00,2012-10-03,525,Weekday
00,2012-10-03,530,Weekday
2525,2012-10-03,535,Weekday
00,2012-10-03,540,Weekday
00,2012-10-03,545,Weekday
9090,2012-10-03,550,Weekday
411411,2012-10-03,555,Weekday
413413,2012-10-03,600,Weekday
415415,2012-10-03,605,Weekday
519519,2012-10-03,610,Weekday
529529,2012-10-03,615,Weekday
613613,2012-10-03,620,Weekday
562562,2012-10-03,625,Weekday
612612,2012-10-03,630,Weekday
534534,2012-10-03,635,Weekday
323323,2012-10-03,640,Weekday
600600,2012-10-03,645,Weekday
533533,2012-10-03,650,Weekday
251251,2012-10-03,655,Weekday
5656,2012-10-03,700,Weekday
00,2012-10-03,705,Weekday
3232,2012-10-03,710,Weekday
8080,2012-10-03,715,Weekday
1010,2012-10-03,720,Weekday
99,2012-10-03,725,Weekday
145145,2012-10-03,730,Weekday
4646,2012-10-03,735,Weekday
00,2012-10-03,740,Weekday
4444,2012-10-03,745,Weekday
126126,2012-10-03,750,Weekday
4242,2012-10-03,755,Weekday
138138,2012-10-03,800,Weekday
5353,2012-10-03,805,Weekday
00,2012-10-03,810,Weekday
00,2012-10-03,815,Weekday
2222,2012-10-03,820,Weekday
5757,2012-10-03,825,Weekday
161161,2012-10-03,830,Weekday
1919,2012-10-03,835,Weekday
1515,2012-10-03,840,Weekday
00,2012-10-03,845,Weekday
1616,2012-10-03,850,Weekday
00,2012-10-03,855,Weekday
00,2012-10-03,900,Weekday
88,2012-10-03,905,Weekday
00,2012-10-03,910,Weekday
5151,2012-10-03,915,Weekday
516516,2012-10-03,920,Weekday
245245,2012-10-03,925,Weekday
00,2012-10-03,930,Weekday
161161,2012-10-03,935,Weekday
77,2012-10-03,940,Weekday
00,2012-10-03,945,Weekday
00,2012-10-03,950,Weekday
00,2012-10-03,955,Weekday
00,2012-10-03,1000,Weekday
00,2012-10-03,1005,Weekday
00,2012-10-03,1010,Weekday
00,2012-10-03,1015,Weekday
00,2012-10-03,1020,Weekday
00,2012-10-03,1025,Weekday
00,2012-10-03,1030,Weekday
00,2012-10-03,1035,Weekday
00,2012-10-03,1040,Weekday
00,2012-10-03,1045,Weekday
00,2012-10-03,1050,Weekday
00,2012-10-03,1055,Weekday
00,2012-10-03,1100,Weekday
00,2012-10-03,1105,Weekday
00,2012-10-03,1110,Weekday
00,2012-10-03,1115,Weekday
00,2012-10-03,1120,Weekday
00,2012-10-03,1125,Weekday
00,2012-10-03,1130,Weekday
7272,2012-10-03,1135,Weekday
7373,2012-10-03,1140,Weekday
00,2012-10-03,1145,Weekday
00,2012-10-03,1150,Weekday
116116,2012-10-03,1155,Weekday
9797,2012-10-03,1200,Weekday
00,2012-10-03,1205,Weekday
00,2012-10-03,1210,Weekday
00,2012-10-03,1215,Weekday
00,2012-10-03,1220,Weekday
00,2012-10-03,1225,Weekday
1515,2012-10-03,1230,Weekday
00,2012-10-03,1235,Weekday
00,2012-10-03,1240,Weekday
00,2012-10-03,1245,Weekday
00,2012-10-03,1250,Weekday
00,2012-10-03,1255,Weekday
8080,2012-10-03,1300,Weekday
6969,2012-10-03,1305,Weekday
00,2012-10-03,1310,Weekday
00,2012-10-03,1315,Weekday
00,2012-10-03,1320,Weekday
00,2012-10-03,1325,Weekday
00,2012-10-03,1330,Weekday
00,2012-10-03,1335,Weekday
00,2012-10-03,1340,Weekday
9999,2012-10-03,1345,Weekday
100100,2012-10-03,1350,Weekday
00,2012-10-03,1355,Weekday
00,2012-10-03,1400,Weekday
3333,2012-10-03,1405,Weekday
00,2012-10-03,1410,Weekday
00,2012-10-03,1415,Weekday
77,2012-10-03,1420,Weekday
00,2012-10-03,1425,Weekday
00,2012-10-03,1430,Weekday
00,2012-10-03,1435,Weekday
00,2012-10-03,1440,Weekday
00,2012-10-03,1445,Weekday
00,2012-10-03,1450,Weekday
00,2012-10-03,1455,Weekday
00,2012-10-03,1500,Weekday
00,2012-10-03,1505,Weekday
00,2012-10-03,1510,Weekday
00,2012-10-03,1515,Weekday
00,2012-10-03,1520,Weekday
00,2012-10-03,1525,Weekday
00,2012-10-03,1530,Weekday
00,2012-10-03,1535,Weekday
00,2012-10-03,1540,Weekday
8888,2012-10-03,1545,Weekday
154154,2012-10-03,1550,Weekday
00,2012-10-03,1555,Weekday
2020,2012-10-03,1600,Weekday
00,2012-10-03,1605,Weekday
00,2012-10-03,1610,Weekday
00,2012-10-03,1615,Weekday
00,2012-10-03,1620,Weekday
00,2012-10-03,1625,Weekday
00,2012-10-03,1630,Weekday
00,2012-10-03,1635,Weekday
00,2012-10-03,1640,Weekday
00,2012-10-03,1645,Weekday
00,2012-10-03,1650,Weekday
00,2012-10-03,1655,Weekday
00,2012-10-03,1700,Weekday
00,2012-10-03,1705,Weekday
198198,2012-10-03,1710,Weekday
6161,2012-10-03,1715,Weekday
7575,2012-10-03,1720,Weekday
00,2012-10-03,1725,Weekday
00,2012-10-03,1730,Weekday
193193,2012-10-03,1735,Weekday
298298,2012-10-03,1740,Weekday
00,2012-10-03,1745,Weekday
1515,2012-10-03,1750,Weekday
2121,2012-10-03,1755,Weekday
00,2012-10-03,1800,Weekday
00,2012-10-03,1805,Weekday
00,2012-10-03,1810,Weekday
00,2012-10-03,1815,Weekday
5151,2012-10-03,1820,Weekday
3636,2012-10-03,1825,Weekday
00,2012-10-03,1830,Weekday
2626,2012-10-03,1835,Weekday
2222,2012-10-03,1840,Weekday
00,2012-10-03,1845,Weekday
3939,2012-10-03,1850,Weekday
5252,2012-10-03,1855,Weekday
1515,2012-10-03,1900,Weekday
4141,2012-10-03,1905,Weekday
00,2012-10-03,1910,Weekday
4242,2012-10-03,1915,Weekday
00,2012-10-03,1920,Weekday
00,2012-10-03,1925,Weekday
159159,2012-10-03,1930,Weekday
3232,2012-10-03,1935,Weekday
00,2012-10-03,1940,Weekday
00,2012-10-03,1945,Weekday
00,2012-10-03,1950,Weekday
00,2012-10-03,1955,Weekday
3434,2012-10-03,2000,Weekday
00,2012-10-03,2005,Weekday
00,2012-10-03,2010,Weekday
00,2012-10-03,2015,Weekday
00,2012-10-03,2020,Weekday
3636,2012-10-03,2025,Weekday
7373,2012-10-03,2030,Weekday
99,2012-10-03,2035,Weekday
00,2012-10-03,2040,Weekday
00,2012-10-03,2045,Weekday
00,2012-10-03,2050,Weekday
00,2012-10-03,2055,Weekday
00,2012-10-03,2100,Weekday
00,2012-10-03,2105,Weekday
00,2012-10-03,2110,Weekday
00,2012-10-03,2115,Weekday
00,2012-10-03,2120,Weekday
00,2012-10-03,2125,Weekday
9090,2012-10-03,2130,Weekday
128128,2012-10-03,2135,Weekday
4646,2012-10-03,2140,Weekday
00,2012-10-03,2145,Weekday
00,2012-10-03,2150,Weekday
